supplier_name,region,country,function,cost,rating,average_delivery_time,number_of_escalations,year,resources
Wacoal Corp.,Europe,Japan,Software quality assurance,625,74,212,154,2021,3100
Waterford Wedgwood plc,Europe,Ireland,Application developer,215,77,295,68,1999,5700
Waterford Wedgwood UK plc,Europe,United Kingdom,Java developer,540,75,224,116,2016,8200
Wavecom S.A.,Europe,France,Web developer,520,89,218,104,2001,8000
Wescast Industries Inc.,Europe,Canada,IT coordinator,235,84,263,71,2016,8800
Westaim Corp.,Europe,Canada,Software quality assurance,465,86,270,125,1998,3900
Westcoast Energy Inc.,Europe,Canada,Data scientist,640,61,293,177,2015,7100
Westpac Banking Corp.,Europe,Australia,Product manager,485,69,265,101,1991,5900
Wharf Holdings Ltd.,Europe,Hong Kong,IT analyst,745,75,288,67,2019,3500
"WideCom Group, Inc.",Europe,Canada,Java developer,650,94,300,93,2006,3400
William Hill Ltd.,Europe,United Kingdom,Finance and accounting,630,81,238,169,2007,2300
Willis Group Holdings Ltd.,Europe,Bermuda,Computer network architect,395,77,206,182,2007,5300
Willis Group Ltd.,Europe,United Kingdom,Data scientist,300,60,201,106,1997,3800
Wipro Ltd.,Europe,India,Web developer,660,61,295,145,2012,6700
WMC Ltd.,Europe,Australia,IT analyst,460,86,277,151,2014,5300
Wolseley plc,Europe,United Kingdom,Computer network architect,70,76,280,110,2001,7900
Workstream Inc.,Europe,Canada,IT & Infrastructure,210,85,257,92,2004,1000
World Gaming plc,Europe,United Kingdom,Software quality assurance,675,93,214,79,2012,6400
World Heart Corp.,Europe,Canada,Full stack developer,290,75,208,175,2004,8400
World Ventures Inc.,Europe,Canada,UX designer,195,79,293,129,2014,5700
WorldWide Technologies Inc.,Europe,Canada,Network engineer,275,77,205,162,2001,6700
WPP Group plc,Europe,United Kingdom,Systems analyst,510,69,299,127,2020,5200
Xcelera.com Inc.,Europe,Cayman Islands,Systems analyst,440,72,282,183,2021,8900
Xeikon N.V.,Europe,Belgium,Market research,435,69,257,169,2011,4700
Xenova Group plc,Europe,United Kingdom,IT & Infrastructure,595,69,241,63,1993,1200
Yanzhou Coal Mining Co. Ltd.,Europe,China,Product manager,595,64,285,129,1994,2400
Yellow Pages Ltd.,Europe,Netherlands,Software architect,360,67,220,54,2015,7000
Yorkshire Power Group Ltd.,Europe,United Kingdom,.Net developer,785,68,231,50,2018,1500
YPF S.A.,Europe,Argentina,Software engineering manager,175,77,283,66,2019,7600
Zarlink Semiconductor Inc.,Europe,Canada,Applications Development & Maintenance,655,91,293,148,1990,8300
Zemex Corp.,Europe,Canada,Software architect,185,62,286,123,2017,6300
Zi Corp.,Europe,Canada,IT analyst,695,72,262,104,2014,8200
Ztest Electronics Inc.,Europe,Canada,Mobile developer,590,83,256,82,1993,7300
